DoctorID,DoctorName,DateOfBirth,DoctorGender,DoctorQualification,DoctorDepartmentID,YearOfExperience,IsActive
1,"Nirvi Shenoy",2065-01-10,Male,PhD,7,33,1
2,"Elakshi Lala",2034-12-06,Female,MBBS,7,9,1
3,"Shalv Grover",2067-04-20,Other,MD,2,9,1
4,"Veer Dhawan",2069-11-29,Other,PhD,1,44,1
5,"Vanya Singhal",2059-10-16,Male,PhD,4,11,1
6,"Anvi Ramakrishnan",2043-04-20,Male,PhD,1,15,1
7,"Seher Mand",2064-05-24,Female,MS,5,18,1
8,"Shlok Bhargava",2064-03-06,Male,MS,6,38,1
9,"Damini Doctor",2060-02-20,Male,PhD,1,8,1
10,"Renee Malhotra",2068-09-15,Other,MBBS,3,29,1
11,"Emir Khare",2065-12-28,Female,PhD,12,41,1
12,"Madhav Mand",2058-03-30,Female,MD,3,32,1
13,"Nitya Krishnan",2058-10-02,Female,PhD,5,32,1
14,"Tarini Sant",2042-05-19,Other,MD,6,11,1
15,"Veer Amble",2052-03-13,Other,MBBS,11,27,1
16,"Navya Biswas",1970-11-23,Other,PhD,9,44,1
17,"Gatik Shan",2065-06-27,Other,MBBS,2,39,1
18,"Vihaan Raval",2068-12-17,Female,MBBS,3,38,1
19,"Aniruddh Sahota",1970-12-02,Male,MS,4,30,1
20,"Farhan Chadha",2049-08-30,Female,MBBS,5,5,1
21,"Neelofar Amble",2062-10-12,Female,MBBS,3,23,1
22,"Nirvi Babu",2055-08-19,Male,MD,2,28,1
23,"Seher Ratta",2039-02-18,Other,PhD,11,9,1
24,"Eva Madan",2045-10-22,Male,MD,6,10,1
25,"Mannat Chaudhary",2058-08-08,Male,MS,7,16,1
26,"Ojas Wali",2050-07-14,Other,MD,8,16,1
27,"Reyansh Jain",2054-10-18,Male,MD,1,24,1
28,"Shaan Venkatesh",2050-02-17,Female,PhD,2,24,1
29,"Ishita Sule",2063-08-01,Male,MBBS,8,23,1
30,"Anika Tripathi",2053-10-11,Other,MD,9,5,1
31,"Priyansh Sarin",2054-12-18,Other,MBBS,9,21,1
32,"Taran Kapoor",2063-05-21,Other,MBBS,4,22,1
33,"Rania Shetty",2067-06-19,Other,MD,3,42,1
34,"Ahana  Deep",2062-08-30,Other,MBBS,10,32,1
35,"Mamooty Soni",2032-11-21,Male,PhD,8,4,1
36,"Purab Sangha",1970-11-30,Male,MS,10,45,1
37,"Pihu Joshi",2068-05-30,Male,MD,7,30,1
38,"Neysa Koshy",2044-07-08,Female,MBBS,3,3,1
39,"Biju Sem",2065-12-16,Other,PhD,1,29,1
40,"Hunar Vasa",2047-01-07,Male,MBBS,11,10,1
